Datetime,Latitude,Longitude,WindSpeed Ave (m/s),WindDir Ave (degrees),AirTemp Ave (C),RelHum Ave (%),AtmPress Ave (hPa),GlobalRad Ave (W/m2),Rain Tot (mm),AirTemp_flag,RelHum_flag,WindSpeed_flag,AtmPress_flag,GlobalRad_flag,WindDir_flag
2025-01-01 00:00:00,1.2994913,103.7705849,2.7509469254894467,33.858944622938964,25.812033898305085,90.30169491525425,1004.186440677966,0.0,0.0,0,0,0,0,0,0
2025-01-01 01:00:00,1.2994913,103.7705849,2.378190157613,29.381082842068054,25.791,90.08166666666666,1003.83,0.0,0.0,0,0,0,0,0,0
2025-01-01 02:00:00,1.2994913,103.7705849,2.793154509764427,32.28559542938325,25.7225,90.265,1003.1233333333332,0.0,0.0,0,0,0,0,0,0
2025-01-01 03:00:00,1.2994913,103.7705849,2.798725739071273,34.45411149584868,25.52083333333333,91.30166666666668,1002.3416666666668,0.0,0.0,0,0,0,0,0,0
2025-01-01 04:00:00,1.2994913,103.7705849,2.4901075176377465,29.512882067964824,25.296666666666667,91.67666666666668,1001.7333333333332,0.0,0.0,0,0,0,0,0,0
2025-01-01 05:00:00,1.2994913,103.7705849,2.161416814988156,30.32157984826017,25.3085,91.17,1001.65,0.0,0.0,0,0,0,0,0,0
2025-01-01 06:00:00,1.2994913,103.7705849,1.8369079906531327,29.7015575786088,25.374,90.72666666666667,1002.1916666666668,0.0,0.0,0,0,0,0,0,0
2025-01-01 07:00:00,1.2994913,103.7705849,1.562390253980177,25.435225915137096,25.50483333333333,89.85,1002.8383333333334,41.16666666666666,0.0,0,0,0,0,0,0
2025-01-01 08:00:00,1.2994913,103.7705849,1.9867895732133525,24.41798085837621,26.564833333333336,86.56166666666667,1003.575,207.05,0.0,0,0,0,0,0,0
2025-01-01 09:00:00,1.2994913,103.7705849,2.394475176946619,19.77597388877382,27.77733333333333,82.17833333333333,1003.8933333333332,385.9333333333333,0.0,0,0,0,0,0,0
2025-01-01 10:00:00,1.2994913,103.7705849,2.643678099796648,8.175870917153986,29.32316666666667,76.28666666666666,1003.87,296.7,0.0,0,0,0,0,0,0
2025-01-01 11:00:00,1.2994913,103.7705849,2.542178474200491,10.419810457575636,30.5345,70.84166666666667,1003.805,199.13333333333333,0.0,0,0,0,0,0,0
2025-01-01 12:00:00,1.2994913,103.7705849,2.084135691007034,9.816519814194066,31.0825,67.86666666666666,1003.42,593.5,0.0,0,0,0,0,0,0
2025-01-01 13:00:00,1.2994913,103.7705849,1.4607745218773411,17.24782164679135,31.75183333333333,66.71,1002.6166666666668,423.3833333333333,0.0,0,0,0,0,0,0
2025-01-01 14:00:00,1.2994913,103.7705849,0.3407886160984693,131.1210939246862,28.283,82.225,1001.775,72.33333333333333,9.3,0,0,0,0,0,0
2025-01-01 15:00:00,1.2994913,103.7705849,0.3865847272963686,234.148373873538,26.312833333333334,92.75166666666668,1000.88,176.25,0.0,0,0,0,0,0,0
2025-01-01 16:00:00,1.2994913,103.7705849,1.65307863959045,352.3610237786253,27.762833333333333,84.41000000000001,1000.6933333333332,285.1333333333333,0.0,0,0,0,0,0,0
2025-01-01 17:00:00,1.2994913,103.7705849,2.5088896365990814,35.65822082769654,28.457,80.05,1000.57,207.6833333333333,0.0,0,0,0,0,0,0
2025-01-01 18:00:00,1.2994913,103.7705849,1.788613058907167,33.364372687296395,28.16,79.58,1000.755,38.41666666666666,0.0,0,0,0,0,0,0
2025-01-01 19:00:00,1.2994913,103.7705849,1.976424043182028,34.1037806559367,27.78383333333333,80.57166666666667,1001.155,1.15,0.0,0,0,0,0,0,0
2025-01-01 20:00:00,1.2994913,103.7705849,2.094224096986902,35.39805241616483,27.537333333333333,82.27333333333333,1001.8,0.0,0.0,0,0,0,0,0,0
2025-01-01 21:00:00,1.2994913,103.7705849,2.496163179704015,30.581605320762947,27.363,84.13833333333334,1002.5416666666666,0.2166666666666666,0.0,0,0,0,0,0,0
2025-01-01 22:00:00,1.2994913,103.7705849,2.668687570403904,30.914289796878336,27.13433333333333,83.56666666666666,1003.08,0.2333333333333333,0.0,0,0,0,0,0,0
2025-01-01 23:00:00,1.2994913,103.7705849,2.9501758397846096,31.878562761491025,26.872166666666665,84.44333333333334,1003.0983333333334,0.2333333333333333,0.0,0,0,0,0,0,0
2025-01-02 00:00:00,1.2994913,103.7705849,2.675549646985772,28.77759322934827,26.688166666666667,85.77166666666668,1002.5933333333334,0.0333333333333333,0.0,0,0,0,0,0,0
2025-01-02 01:00:00,1.2994913,103.7705849,2.732740279188109,27.71028338334929,26.469833333333334,87.23666666666666,1002.34,0.0,0.0,0,0,0,0,0,0
2025-01-02 02:00:00,1.2994913,103.7705849,2.641967320889254,30.208728405862644,26.228,88.55666666666666,1002.1083333333332,0.0,0.0,0,0,0,0,0,0
2025-01-02 03:00:00,1.2994913,103.7705849,2.441442966753925,22.590209423218425,26.049333333333333,88.74333333333334,1001.76,0.0,0.0,0,0,0,0,0,0
2025-01-02 04:00:00,1.2994913,103.7705849,2.734579063970342,27.649233192530573,25.8765,88.99166666666666,1001.4883333333332,0.0,0.0,0,0,0,0,0,0
2025-01-02 05:00:00,1.2994913,103.7705849,2.4809391718166385,26.832346328827384,25.762166666666666,89.025,1001.69,0.0,0.0,0,0,0,0,0,0
2025-01-02 06:00:00,1.2994913,103.7705849,2.4899028487151544,29.37448934026054,25.68,89.35333333333332,1002.0516666666666,0.05,0.0,0,0,0,0,0,0
2025-01-02 07:00:00,1.2994913,103.7705849,2.753458462973659,27.757773321226185,25.828,88.36833333333334,1002.6583333333332,30.183333333333334,0.0,0,0,0,0,0,0
2025-01-02 08:00:00,1.2994913,103.7705849,2.430242075414506,23.416811762355223,26.65183333333333,85.99333333333334,1003.6316666666668,140.06666666666666,0.0,0,0,0,0,0,0
2025-01-02 09:00:00,1.2994913,103.7705849,3.010864740230978,26.9708391810072,28.347166666666663,80.11833333333334,1003.76,466.7166666666666,0.0,0,0,0,0,0,0
2025-01-02 10:00:00,1.2994913,103.7705849,3.12736618619586,22.795909900422146,29.852500000000003,73.35166666666667,1003.94,279.8,0.0,0,0,0,0,0,0
2025-01-02 11:00:00,1.2994913,103.7705849,2.9283081389442347,27.884320463945585,30.90333333333333,69.365,1003.725,303.1333333333333,0.0,0,0,0,0,0,0
2025-01-02 12:00:00,1.2994913,103.7705849,2.472073963077446,16.161686463321416,31.040666666666667,67.80333333333333,1003.2,431.7166666666666,0.0,0,0,0,0,0,0
2025-01-02 13:00:00,1.2994913,103.7705849,2.671227881111544,18.55269569501803,30.788,67.21166666666666,1002.455,465.28333333333336,0.0,0,0,0,0,0,0
2025-01-02 14:00:00,1.2994913,103.7705849,2.796526046621979,16.397105768413155,31.515833333333333,67.33833333333334,1001.4516666666666,714.2333333333333,0.0,0,0,0,0,0,0
2025-01-02 15:00:00,1.2994913,103.7705849,2.518572763385795,19.75726193702809,31.59416666666667,66.805,1000.4016666666666,469.35,0.0,0,0,0,0,0,0
2025-01-02 16:00:00,1.2994913,103.7705849,0.6243294021129175,353.0268179956348,28.56883333333333,79.60833333333333,999.8233333333334,34.95,7.0,0,0,0,0,0,0
2025-01-02 17:00:00,1.2994913,103.7705849,1.3080062948877342,223.45977291458155,26.412666666666667,90.32166666666669,999.9183333333332,25.866666666666667,0.5,0,0,0,0,0,0
2025-01-02 18:00:00,1.2994913,103.7705849,0.8121605912071789,27.44631696092,27.1715,89.33999999999999,1000.595,48.41666666666666,0.0,0,0,0,0,0,0
2025-01-02 19:00:00,1.2994913,103.7705849,2.736475579702207,17.88814929392089,27.776166666666665,81.37833333333333,1001.455,3.3,0.1,0,0,0,0,0,0
2025-01-02 20:00:00,1.2994913,103.7705849,2.378851682918851,34.87685657929683,27.038166666666665,84.72166666666666,1002.17,1.7,0.0,0,0,0,0,0,0
2025-01-02 21:00:00,1.2994913,103.7705849,2.721363398253023,36.56346913571912,27.06833333333333,86.10666666666665,1002.86,0.4166666666666667,0.0,0,0,0,0,0,0
