Datetime,Latitude,Longitude,WindSpeed Ave (m/s),WindDir Ave (degrees),AirTemp Ave (C),RelHum Ave (%),AtmPress Ave (hPa),GlobalRad Ave (W/m2)
2025-01-01 00:00:00,1.3054725,103.7730639,0.5941024129156555,316.2442511027781,26.054745762711864,89.96101694915254,1009.8610169491524,
2025-01-01 01:00:00,1.3054725,103.7730639,0.3932425013053461,315.04296679517495,26.0285,89.895,1009.4966666666668,
2025-01-01 02:00:00,1.3054725,103.7730639,0.4500134901889823,313.93423207711186,25.994833333333336,89.83833333333334,1008.81,
2025-01-01 03:00:00,1.3054725,103.7730639,0.5649955098678344,312.351505861963,25.735,90.66833333333334,1008.0316666666666,
2025-01-01 04:00:00,1.3054725,103.7730639,0.455321719631494,317.8742460066797,25.6335,90.735,1007.4183333333332,
2025-01-01 05:00:00,1.3054725,103.7730639,0.4229424614533733,320.1255349824808,25.555166666666665,90.57166666666669,1007.3183333333332,
2025-01-01 06:00:00,1.3054725,103.7730639,0.4113456689847625,320.0283968232884,25.488333333333333,90.55,1007.855,
2025-01-01 07:00:00,1.3054725,103.7730639,0.0196009189985382,50.39516531241191,25.6445,90.45666666666666,1008.49,
2025-01-01 08:00:00,1.3054725,103.7730639,0.2147114960146104,310.7582073110147,26.26333333333333,89.24666666666667,1009.2283333333332,
2025-01-01 09:00:00,1.3054725,103.7730639,0.096523845600632,138.76848036994636,27.498833333333334,84.86666666666666,1009.5083333333332,
2025-01-01 10:00:00,1.3054725,103.7730639,0.320237423204073,155.9728485340013,29.123833333333334,79.18333333333334,1009.47,
2025-01-01 11:00:00,1.3054725,103.7730639,0.5277968342430147,144.04712723140435,31.21283333333333,70.97166666666666,1009.3383333333334,
2025-01-01 12:00:00,1.3054725,103.7730639,0.7690458228571242,146.9646186428629,31.877166666666668,67.83833333333334,1008.8966666666668,
2025-01-01 13:00:00,1.3054725,103.7730639,0.1161588988776726,175.5233191516852,32.8805,64.46666666666667,1008.0766666666666,
2025-01-01 14:00:00,1.3054725,103.7730639,0.3696330907927734,223.05803295338265,29.842,76.82666666666667,1007.345,
2025-01-01 15:00:00,1.3054725,103.7730639,0.1894023988239853,268.03519471652714,27.737166666666667,84.77166666666668,1006.49,
2025-01-01 16:00:00,1.3054725,103.7730639,0.3096719095232521,133.66679129431702,29.268833333333337,80.39666666666668,1006.315,
2025-01-01 17:00:00,1.3054725,103.7730639,0.498926239030852,308.40376911323784,30.196666666666665,75.38333333333334,1006.1683333333332,
2025-01-01 18:00:00,1.3054725,103.7730639,0.2838386958285435,321.12169227890183,29.021166666666662,77.075,1006.32,
2025-01-01 19:00:00,1.3054725,103.7730639,0.3292800231305122,329.2021139940997,27.916666666666668,80.79166666666667,1006.715,
2025-01-01 20:00:00,1.3054725,103.7730639,0.5320805959552628,325.4846998651007,27.532833333333333,82.09166666666667,1007.3883333333334,
2025-01-01 21:00:00,1.3054725,103.7730639,0.5424958414332405,316.42385523908143,27.490333333333336,83.51,1008.1666666666666,
2025-01-01 22:00:00,1.3054725,103.7730639,0.3657954303975878,325.6367121537713,27.415666666666667,83.39,1008.7116666666666,
2025-01-01 23:00:00,1.3054725,103.7730639,0.4636428052414248,315.611974595626,27.241666666666667,83.71666666666667,1008.7683333333332,
2025-01-02 00:00:00,1.3054725,103.7730639,0.4021814719831641,316.7144789394147,27.08083333333333,84.775,1008.2566666666668,
2025-01-02 01:00:00,1.3054725,103.7730639,0.4464029182629776,310.27354834231767,26.88266666666667,86.07666666666667,1007.9966666666668,
2025-01-02 02:00:00,1.3054725,103.7730639,0.4852673778276785,308.85137696756806,26.63583333333333,87.28999999999999,1007.7833333333332,
2025-01-02 03:00:00,1.3054725,103.7730639,0.4325927383778906,308.3972967767271,26.463,87.815,1007.435,
2025-01-02 04:00:00,1.3054725,103.7730639,0.4066037122206,305.89017214452684,26.275,87.97,1007.1633333333334,
2025-01-02 05:00:00,1.3054725,103.7730639,0.4316559548140026,307.0160305342846,26.181166666666662,87.92,1007.365,
2025-01-02 06:00:00,1.3054725,103.7730639,0.4690597473458945,308.4981627979031,26.061333333333334,88.35166666666667,1007.7366666666666,
2025-01-02 07:00:00,1.3054725,103.7730639,0.4631876434413765,311.5799589344317,26.0765,88.19166666666666,1008.33,
2025-01-02 08:00:00,1.3054725,103.7730639,0.1261100880300302,323.9064790126546,27.038,85.39333333333335,1009.2833333333332,
2025-01-02 09:00:00,1.3054725,103.7730639,0.3412557803714355,290.11327923422107,27.9355,82.00666666666666,1009.3683333333332,
2025-01-02 10:00:00,1.3054725,103.7730639,0.1399136810180793,187.1346131498229,29.55,75.72833333333332,1009.5033333333332,
2025-01-02 11:00:00,1.3054725,103.7730639,0.1022900359177021,188.8466520843208,32.079,66.98666666666666,1009.2633333333332,
2025-01-02 12:00:00,1.3054725,103.7730639,0.4327587579877194,152.773131935812,32.67066666666667,64.84166666666667,1008.705,
2025-01-02 13:00:00,1.3054725,103.7730639,0.2935927317992809,160.0434700155289,32.170833333333334,65.48,1007.96,
2025-01-02 14:00:00,1.3054725,103.7730639,0.1417363746503979,214.33712943342888,34.30233333333333,59.37833333333333,1006.975,
2025-01-02 15:00:00,1.3054725,103.7730639,0.1522664308000161,247.7645770194443,34.69666666666667,58.235,1005.8883333333334,
2025-01-02 16:00:00,1.3054725,103.7730639,0.2404424188073357,194.075369506834,30.841833333333334,71.85,1005.3366666666666,
2025-01-02 17:00:00,1.3054725,103.7730639,0.4775437361200768,159.79506873620812,28.09433333333333,84.56833333333334,1005.5066666666668,
2025-01-02 18:00:00,1.3054725,103.7730639,0.0802770681946401,253.9741604594438,28.594,84.52666666666667,1006.1883333333334,
2025-01-02 19:00:00,1.3054725,103.7730639,0.2154902323746165,310.07962184760464,28.137166666666666,81.67333333333333,1007.05,
2025-01-02 20:00:00,1.3054725,103.7730639,0.3715873508198294,327.80528215647644,27.29133333333333,83.96833333333333,1007.7883333333334,
2025-01-02 21:00:00,1.3054725,103.7730639,0.6635172919996277,321.9410596209356,26.926166666666667,86.38166666666666,1008.465,
2025-01-02 22:00:00,1.3054725,103.7730639,0.5692083780577147,322.580148490938,27.142666666666667,86.305,1009.035,
2025-01-02 23:00:00,1.3054725,103.7730639,0.5517305441609864,318.02519613178134,27.018,86.675,1009.0566666666668,
2025-01-03 00:00:00,1.3054725,103.7730639,0.7104621951590373,315.89694242426054,26.913,85.84333333333333,1008.8333333333334,
2025-01-03 01:00:00,1.3054725,103.7730639,0.7025569526641957,315.18179367000926,26.841,85.135,1008.225,
2025-01-03 02:00:00,1.3054725,103.7730639,0.7086229407022128,314.6144244765071,26.67083333333333,85.8,1007.7166666666668,
2025-01-03 03:00:00,1.3054725,103.7730639,0.8283821756918034,316.559399772416,26.49083333333333,86.33,1007.4383333333332,
2025-01-03 04:00:00,1.3054725,103.7730639,0.5809498813156239,307.4365611128237,26.473333333333336,86.22666666666667,1007.4383333333332,
2025-01-03 05:00:00,1.3054725,103.7730639,0.4461090161608145,308.78260584743833,26.38533333333333,86.75833333333334,1007.5833333333334,
2025-01-03 06:00:00,1.3054725,103.7730639,0.4445249198695805,309.138354629751,26.2145,87.53500000000001,1007.79,
2025-01-03 07:00:00,1.3054725,103.7730639,0.3846263822913972,310.3696493211858,26.11,88.14166666666667,1007.9816666666668,
2025-01-03 08:00:00,1.3054725,103.7730639,0.3253163738402059,311.1543767808454,26.760166666666667,86.175,1008.855,
2025-01-03 09:00:00,1.3054725,103.7730639,0.183455934240496,264.1036384094082,28.026,80.22833333333332,1009.8416666666668,
2025-01-03 10:00:00,1.3054725,103.7730639,0.1458574059537961,185.595049389514,29.616,74.16000000000001,1010.0116666666668,
2025-01-03 11:00:00,1.3054725,103.7730639,0.3465806841356662,150.5164524660541,31.877166666666668,65.99333333333333,1009.9233333333334,
2025-01-03 12:00:00,1.3054725,103.7730639,0.2098023662831823,181.749720797102,33.5525,59.76166666666666,1009.2233333333334,
2025-01-03 13:00:00,1.3054725,103.7730639,0.4179752459153063,155.25954425008172,33.47816666666667,59.17,1008.4216666666669,
2025-01-03 14:00:00,1.3054725,103.7730639,0.2938138813773728,293.369488177961,33.38616666666667,61.34333333333333,1007.195,
2025-01-03 15:00:00,1.3054725,103.7730639,0.2857882413766511,199.79796836758624,30.395666666666667,73.92833333333333,1005.98,
2025-01-03 16:00:00,1.3054725,103.7730639,0.262630597410155,242.90962454681508,28.44383333333333,83.92166666666667,1005.6833333333332,
2025-01-03 17:00:00,1.3054725,103.7730639,0.1318008172033905,146.90901872791437,28.865666666666662,84.42166666666667,1005.7066666666668,
2025-01-03 18:00:00,1.3054725,103.7730639,0.1981348869141422,312.33866261951084,27.841833333333334,85.06833333333334,1006.445,
2025-01-03 19:00:00,1.3054725,103.7730639,0.0704590436443462,116.87792412123156,27.45433333333333,86.21833333333333,1007.3283333333331,
2025-01-03 20:00:00,1.3054725,103.7730639,0.4132812379670053,324.9256728257029,27.096833333333333,87.54333333333334,1007.775,
2025-01-03 21:00:00,1.3054725,103.7730639,0.483324059226945,324.5060372863516,27.01333333333333,85.18,1008.6833333333332,
2025-01-03 22:00:00,1.3054725,103.7730639,0.4048057700778942,323.5007780145737,27.05583333333333,84.57,1009.085,
2025-01-03 23:00:00,1.3054725,103.7730639,0.3212031919756846,324.76660697780403,26.992833333333333,84.94833333333332,1009.075,
2025-01-04 00:00:00,1.3054725,103.7730639,0.0497473833297285,33.99489411163461,26.797166666666666,86.03833333333334,1009.2066666666668,
2025-01-04 01:00:00,1.3054725,103.7730639,0.1029757107957251,341.8935911676182,26.857166666666668,86.225,1008.9866666666666,
2025-01-04 02:00:00,1.3054725,103.7730639,0.3152526748105865,319.2417830642505,26.804666666666662,86.74333333333334,1008.375,
2025-01-04 03:00:00,1.3054725,103.7730639,0.4131331988268297,318.50739761581474,26.74566666666667,86.975,1007.6583333333332,
2025-01-04 04:00:00,1.3054725,103.7730639,0.5712340194287324,315.9184753063715,26.38433333333333,88.79666666666667,1007.2066666666668,
